Cohort Year,School,Conference,Sport,State,GSR,FGR
2014,Abilene Christian University,Southland Conference,Football,TX,75,51
2014,University of Akron,Mid-American Conference,Football,OH,79,76
2014,Alabama A&M University,Southwestern Athletic Conf.,Football,AL,62,54
2014,Alabama State University,Southwestern Athletic Conf.,Football,AL,71,42
2014,University of Alabama,Southeastern Conference,Football,AL,86,65
2014,University of Alabama at Birmingham,Conference USA,Football,AL,69,42
2014,University at Albany,Colonial Athletic Association,Football,NY,78,63
2014,Alcorn State University,Southwestern Athletic Conf.,Football,MS,68,53
2014,Appalachian State University,Sun Belt Conference,Football,NC,78,60
2014,Arizona State University,Pac-12 Conference,Football,AZ,86,66
2014,University of Arizona,Pac-12 Conference,Football,AZ,73,55
2014,Arkansas State University,Sun Belt Conference,Football,AR,72,45
2014,"University of Arkansas, Fayetteville",Southeastern Conference,Football,AR,84,57
2014,Auburn University,Southeastern Conference,Football,AL,80,61
2014,Austin Peay State University,Ohio Valley Conference,Football,TN,64,45
2014,Ball State University,Mid-American Conference,Football,IN,82,65
2014,Charleston Southern University,Big South Conference,Football,SC,66,58
2014,Baylor University,Big 12 Conference,Football,TX,91,69
2014,Bethune-Cookman University,Mid-Eastern Athletic Conf.,Football,FL,74,54
2014,Boise State University,Mountain West Conference,Football,ID,88,53
2014,Boston College,Atlantic Coast Conference,Football,MA,92,76
2014,Bowling Green State University,Mid-American Conference,Football,OH,72,65
2014,Brigham Young University,Independent,Football,UT,80,59
2014,Brown University,The Ivy League,Football,RI,95,
2014,Bryant University,Northeast Conference,Football,RI,94,83
2014,Bucknell University,Patriot League,Football,PA,94,77
2014,"University at Buffalo, the State University of New York",Mid-American Conference,Football,NY,86,69
2014,Butler University,Pioneer Football League,Football,IN,88,
2014,California Polytechnic State University,Big Sky Conference,Football,CA,86,70
2014,"California State University, Fresno",Mountain West Conference,Football,CA,69,58
2014,"California State University, Sacramento",Big Sky Conference,Football,CA,64,41
2014,"University of California, Berkeley",Pac-12 Conference,Football,CA,84,76
2014,"University of California, Davis",Big Sky Conference,Football,CA,87,83
2014,"University of California, Los Angeles",Pac-12 Conference,Football,CA,71,54
2014,Campbell University,Big South Conference,Football,NC,88,77
2014,Central Connecticut State University,Northeast Conference,Football,CT,65,52
2014,University of Central Florida,American Athletic Conference,Football,FL,82,68
2014,Central Michigan University,Mid-American Conference,Football,MI,81,73
2014,University of Cincinnati,American Athletic Conference,Football,OH,86,67
2014,The Citadel,Southern Conference,Football,SC,88,67
2014,Clemson University,Atlantic Coast Conference,Football,SC,88,66
2014,Coastal Carolina University,Sun Belt Conference,Football,SC,81,63
2014,Colgate University,Patriot League,Football,NY,93,84
2014,Colorado State University,Mountain West Conference,Football,CO,80,76
2014,"University of Colorado, Boulder",Pac-12 Conference,Football,CO,77,56
2014,Columbia University-Barnard College,The Ivy League,Football,NY,99,
2014,University of Connecticut,Independent,Football,CT,89,78
2014,Cornell University,The Ivy League,Football,NY,97,
2014,Dartmouth College,The Ivy League,Football,NH,100,
2014,Davidson College,Pioneer Football League,Football,NC,92,
2014,University of Dayton,Pioneer Football League,Football,OH,96,
2014,Delaware State University,Mid-Eastern Athletic Conf.,Football,DE,71,51
2014,University of Delaware,Colonial Athletic Association,Football,DE,82,70
2014,Drake University,Pioneer Football League,Football,IA,95,85
2014,Duke University,Atlantic Coast Conference,Football,NC,96,90
2014,Duquesne University,Northeast Conference,Football,PA,77,66
2014,East Carolina University,American Athletic Conference,Football,NC,72,67
2014,East Tennessee State University,Southern Conference,Football,TN,100,
2014,Eastern Illinois University,Ohio Valley Conference,Football,IL,64,53
2014,Eastern Kentucky University,Ohio Valley Conference,Football,KY,74,57
2014,Eastern Michigan University,Mid-American Conference,Football,MI,73,59
2014,Eastern Washington University,Big Sky Conference,Football,WA,64,57
2014,Florida A&M University,Southwestern Athletic Conf.,Football,FL,62,45
2014,Florida Atlantic University,Conference USA,Football,FL,75,60
2014,Florida International University,Conference USA,Football,FL,75,59
2014,Florida State University,Atlantic Coast Conference,Football,FL,58,43
2014,University of Florida,Southeastern Conference,Football,FL,93,37
2014,Fordham University,Patriot League,Football,NY,88,82
2014,Furman University,Southern Conference,Football,SC,85,74
2014,Georgetown University,Patriot League,Football,DC,100,94
2014,Georgia Southern University,Sun Belt Conference,Football,GA,64,55
2014,Georgia State University,Sun Belt Conference,Football,GA,81,70
2014,Georgia Institute of Technology,Atlantic Coast Conference,Football,GA,85,70
2014,University of Georgia,Southeastern Conference,Football,GA,59,39
2014,Grambling State University,Southwestern Athletic Conf.,Football,LA,65,49
2014,Hampton University,Big South Conference,Football,VA,68,48
2014,Harvard University,The Ivy League,Football,MA,98,
2014,"University of Hawaii, Manoa",Mountain West Conference,Football,HI,73,47
2014,College of the Holy Cross,Patriot League,Football,MA,98,89
2014,Houston Baptist University,Southland Conference,Football,TX,87,68
2014,University of Houston,American Athletic Conference,Football,TX,68,58
2014,Howard University,Mid-Eastern Athletic Conf.,Football,DC,66,65
2014,Idaho State University,Big Sky Conference,Football,ID,81,57
2014,University of Idaho,Big Sky Conference,Football,ID,73,52
2014,Illinois State University,Missouri Valley Football Conference,Football,IL,85,72
2014,University of Illinois Urbana-Champaign,Big Ten Conference,Football,IL,91,79
2014,Indiana State University,Missouri Valley Football Conference,Football,IN,72,51
2014,"Indiana University, Bloomington",Big Ten Conference,Football,IN,85,62
2014,Iowa State University,Big 12 Conference,Football,IA,88,70
2014,University of Iowa,Big Ten Conference,Football,IA,87,65
2014,Jackson State University,Southwestern Athletic Conf.,Football,MS,84,65
2014,Jacksonville State University,Ohio Valley Conference,Football,AL,80,70
2014,James Madison University,Colonial Athletic Association,Football,VA,75,64
2014,Kansas State University,Big 12 Conference,Football,KS,93,72
2014,University of Kansas,Big 12 Conference,Football,KS,83,57
2014,Kent State University,Mid-American Conference,Football,OH,81,59
2014,University of Kentucky,Southeastern Conference,Football,KY,86,56
2014,Lafayette College,Patriot League,Football,PA,97,84
2014,Lamar University,Southland Conference,Football,TX,68,53
2014,Lehigh University,Patriot League,Football,PA,84,78
2014,Liberty University,Independent,Football,VA,67,50
2014,Louisiana State University,Southeastern Conference,Football,LA,61,28
2014,Louisiana Tech University,Conference USA,Football,LA,63,48
2014,University of Louisville,Atlantic Coast Conference,Football,KY,93,82
2014,University of Maine,Colonial Athletic Association,Football,ME,82,74
2014,Marist College,Pioneer Football League,Football,NY,82,100
2014,Marshall University,Conference USA,Football,WV,81,66
2014,"University of Maryland, College Park",Big Ten Conference,Football,MD,83,73
2014,"University of Massachusetts, Amherst",Independent,Football,MA,70,61
2014,McNeese State University,Southland Conference,Football,LA,75,73
2014,University of Memphis,American Athletic Conference,Football,TN,90,62
2014,Mercer University,Southern Conference,Football,GA,85,86
2014,Merrimack College,Northeast Conference,Football,MA,73,60
2014,Miami University (Ohio),Mid-American Conference,Football,OH,92,77
2014,University of Miami (Florida),Atlantic Coast Conference,Football,FL,78,47
2014,Michigan State University,Big Ten Conference,Football,MI,84,68
2014,University of Michigan,Big Ten Conference,Football,MI,96,79
2014,Middle Tennessee State University,Conference USA,Football,TN,95,64
2014,"University of Minnesota, Twin Cities",Big Ten Conference,Football,MN,96,78
2014,Mississippi State University,Southeastern Conference,Football,MS,74,62
2014,Mississippi Valley State University,Southwestern Athletic Conf.,Football,MS,78,53
2014,University of Mississippi,Southeastern Conference,Football,MS,73,55
2014,"University of Missouri, Columbia",Southeastern Conference,Football,MO,77,55
2014,Monmouth University,Big South Conference,Football,NJ,82,76
2014,Montana State University-Bozeman,Big Sky Conference,Football,MT,71,59
2014,University of Montana,Big Sky Conference,Football,MT,71,59
2014,Morehead State University,Pioneer Football League,Football,KY,69,
2014,Morgan State University,Mid-Eastern Athletic Conf.,Football,MD,67,58
2014,Murray State University,Ohio Valley Conference,Football,KY,84,50
2014,"University of North Carolina, Chapel Hill",Atlantic Coast Conference,Football,NC,66,55
2014,The University of North Carolina at Charlotte,Conference USA,Football,NC,70,68
2014,"University of Nebraska, Lincoln",Big Ten Conference,Football,NE,90,65
2014,Nevada-Las Vegas,Mountain West Conference,Football,NV,74,61
2014,"University of Nevada, Reno",Mountain West Conference,Football,NV,84,62
2014,University of New Hampshire,Colonial Athletic Association,Football,NH,94,82
2014,New Mexico State University,Independent,Football,NM,83,63
2014,University of New Mexico,Mountain West Conference,Football,NM,65,42
2014,Nicholls State University,Southland Conference,Football,LA,70,63
2014,Norfolk State University,Mid-Eastern Athletic Conf.,Football,VA,80,67
2014,University of North Alabama,Big South Conference,Football,AL,46,42
2014,North Carolina A&T State University,Mid-Eastern Athletic Conf.,Football,NC,85,69
2014,North Carolina Central University,Mid-Eastern Athletic Conf.,Football,NC,70,51
2014,North Carolina State University,Atlantic Coast Conference,Football,NC,74,55
